study_hours,attendance,passed
7.49,41.89,0
19.01,78.18,1
14.64,58.86,0
11.97,70.51,1
3.12,94.45,1
3.12,54.96,0
1.16,64.62,0
17.32,85.33,1
12.02,53.73,0
14.16,44.62,0
0.41,57.39,0
19.4,49.67,0
16.65,95.78,1
4.25,88.49,1
3.64,78.0,1
3.67,92.29,1
6.08,88.22,1
10.5,51.19,0
8.64,93.55,1
5.82,72.36,0
12.24,88.45,1
2.79,93.77,1
5.84,59.08,0
7.33,46.6,0
9.12,53.68,0
15.7,65.63,1
3.99,89.08,1
10.28,91.64,1
11.85,40.42,0
0.93,70.64,0
12.15,65.04,0
3.41,53.33,0
1.3,47.19,0
18.98,60.26,1
19.31,96.57,1
16.17,59.39,0
6.09,71.13,0
1.95,82.18,0
13.68,61.82,0
8.8,98.31,1
2.44,97.75,1
9.9,55.11,0
0.69,69.83,0
18.19,58.05,1
5.18,57.09,0
13.25,42.21,0
6.23,76.57,1
10.4,70.16,0
10.93,43.09,0
3.7,56.72,0
19.39,94.5,1
15.5,54.37,0
18.79,48.69,0
17.9,69.37,1
11.96,99.14,1
18.44,54.52,0
1.77,80.33,1
3.92,85.7,1
0.9,54.26,0
6.51,83.69,1
7.77,62.07,0
5.43,77.94,1
16.57,78.01,1
7.14,72.15,1
5.62,45.42,0
10.85,90.12,1
2.82,59.25,0
16.04,51.19,0
1.49,42.45,0
19.74,75.45,1
15.44,80.65,1
3.97,41.0,0
0.11,70.73,0
16.31,53.59,0
14.14,78.71,1
14.58,50.46,0
15.43,81.46,1
1.48,63.2,0
7.17,96.2,1
2.32,48.25,0
17.26,60.46,1
12.47,46.81,0
6.62,95.48,1
1.27,92.64,1
6.22,55.48,0
6.5,79.6,1
14.59,89.03,1
12.75,73.31,1
17.74,71.78,1
9.44,54.51,0
2.39,45.59,0
14.26,93.83,1
15.22,94.03,1
11.23,77.99,1
15.42,60.34,0
9.88,60.95,0
10.45,83.56,1
8.55,93.83,1
0.51,93.23,1
2.16,86.79,1
